,Gene,Old Human,Old Organoid,Young Human,Young Organoid
0,A1BG,10781.0,68.0,4661.0,65.0
1,A1BG-AS1,120.0,5.0,41.0,8.0
2,A1CF,3501.0,497.0,811.9989999999998,1064.0010000000002
3,A2M,25953.485,9190.209000000003,23252.516,26049.344999999994
4,A2M-AS1,24.0,15.0,22.0,22.0
5,A2ML1,0.0,1.0,1.0,1.0
6,A2MP1,2.0,3.0,7.0,1.0
7,A3GALT2,1.0,2.0,1.0,6.0
8,A4GALT,5.0,198.0,110.0,43.0
9,A4GNT,0.0,1.0,0.0,1.0
10,AA06,0.0,0.0,0.0,1.0
11,AAAS,285.0,172.0,111.0,60.0
12,AACS,31.0,268.0,143.0,103.0
13,AACSP1,0.0,4.0,0.0,0.0
14,AADAC,3542.982,422.6410000000001,2194.0,940.0
15,AADACL2,0.0,0.0,2.0,0.0
16,AADACL3,0.0,0.0,0.0,0.0
17,AADACL4,0.0,2.0,0.0,0.0
18,AADAT,444.0,29.0,19.0,26.0
19,AAED1,28.0,65.0,65.0,102.0
20,AAGAB,137.0,159.0,177.0,265.0
21,AAK1,170.15,249.68600000000004,127.54700000000003,141.0
22,AAMDC,141.0,68.0,73.0,69.0
23,AAMP,726.0,503.0,199.0,179.0
24,AANAT,1.0,1.0,0.0,1.0
25,AAR2,244.0,262.001,145.0,246.0
26,AARD,0.0,8.0,1.0,2.0
27,AARS,1038.0,873.0,853.0,594.0
28,AARS2,165.0,171.0,60.0,132.001
29,AARSD1,203.0,111.15200000000002,55.30000000000001,50.934
30,AASDH,80.0,79.0,88.0,110.0
31,AASDHPPT,230.0,129.0,85.0,263.0
32,AASS,2397.0,40.0,2061.0,76.0
33,AATF,280.0,242.0,96.0,121.0
34,AATK,6.0,12.0,11.0,13.0
35,AATK-AS1,0.0,1.0,0.0,0.0
36,ABAT,6018.001,149.0,522.9999999999998,297.0
37,ABCA1,572.0,289.999,1595.0,496.999
38,ABCA10,25.723,28.839,36.748000000000005,13.023
39,ABCA11P,23.375,46.767,15.313,11.611000000000004
40,ABCA12,0.0,10.0,1.0,8.0
41,ABCA13,15.0,9.0,5.0,4.0
42,ABCA17P,2.0,23.0,0.0,20.029999999999998
43,ABCA2,821.0,987.0,637.0,344.0
44,ABCA3,21.0,194.779,23.0,128.99299999999994
45,ABCA4,28.0,9.0,22.0,66.0
46,ABCA5,150.0,192.0,409.001,162.0
47,ABCA6,1709.0,297.0,258.0,486.001
48,ABCA7,87.0,258.999,56.0,112.0
49,ABCA8,227.62100000000004,6.428,280.644,24.543
50,ABCA9,272.25699999999995,34.0,57.877,10.0
51,ABCB1,465.77,1116.3759999999997,196.98500000000007,1517.2249999999995
52,ABCB10,223.0,130.00099999999998,97.0,210.0
53,ABCB11,1636.0,82.999,618.0,73.0
54,ABCB4,2253.8779999999997,348.51700000000005,1753.5170000000003,283.93399999999997
55,ABCB5,6.0,5.0,3.0,0.0
56,ABCB6,854.0,388.0,617.0,149.0
57,ABCB7,168.0,144.0,90.0,159.0
58,ABCB8,311.0,246.0,63.0,106.0
59,ABCB9,13.0,58.0,17.0,24.0
60,ABCC1,3.0,293.0,101.0,129.0
61,ABCC10,50.0,128.0,161.999,65.0
62,ABCC11,112.0,23.0,46.0,13.0
63,ABCC12,4.0,0.0,2.0,0.0
64,ABCC13,2.0,1.0,1.0,0.0
65,ABCC2,4399.999,1204.9989999999998,2737.001,1427.9989999999998
66,ABCC3,4652.0,2029.9989999999998,1448.0020000000004,576.0
67,ABCC4,16.0,55.0,43.0,138.00099999999998
68,ABCC5,61.0,47.0,90.0,70.0
69,ABCC5-AS1,0.0,0.0,0.0,0.0
70,ABCC6,1574.573,318.80099999999993,712.38,195.062
71,ABCC6P1,309.747,101.14500000000001,292.033,77.135
72,ABCC6P2,53.47599999999999,51.662000000000006,42.972,13.017
73,ABCC8,11.0,3.0,3.0,2.0
74,ABCC9,857.0,30.0,454.0,46.0
75,ABCD1,262.0,189.0,94.0,48.0
